Code;Text
s0;Opstartgeluid.
1;Wachten op de netwerkconfiguratie.
2;Kan geen verbinding maken met het wifi-netwerk. Controleer uw wifi-wachtwoord en probeer het opnieuw.
3;Kan geen verbinding maken met de server. Controleer uw lokale netwerk en probeer het opnieuw.
4;De robot heeft de netwerkconfiguratiemodus verlaten.
5;Netwerk succesvol verbonden.
6;Netwerkverbinding mislukt. Probeer het opnieuw.
7;Ik begin nu met schoonmaken.
8;Ik begin met de zone-reiniging.
9;Ik begin met de geplande schoonmaak.
10;Ik ga verder met schoonmaken.
11;Gepauzeerd.
12;Schoonmaaktaak voltooid.
13;Ik ga terug naar het basisstation om op te laden.
14;Batterij bijna leeg. Ik ga terug naar het basisstation om op te laden. Na het opladen ga ik verder met mijn werk.
15;Ik keer terug naar de plek waar ik ben begonnen.
16;Batterij bijna leeg. Ik keer terug naar de plek waar ik ben begonnen. Laad mij alstublieft op.
17;Plaats de robot op het basisstation om op te laden.
18;Opladen.
19;Haal de robot van het basisstation voordat u hem uitschakelt.
20;Batterij bijna leeg.
21;Batterij bijna leeg. De robot schakelt nu uit.
22;Plaats de robot in het schoon te maken gebied.
23;Watertank geïnstalleerd.
24;Controleer of de watertank correct is geïnstalleerd.
25;Batterij te laag. Ik kan de geplande schoonmaak niet uitvoeren.
26;Fabrieksinstellingen herstellen.
27;Updaten. Dit duurt ongeveer vijf minutes. Schakel de robot niet uit en start geen schoonmaaktaak.
28;Update succesvol afgerond.
29;Update mislukt probeer het opnieuw.
30;Positioneren een moment geduld alstublieft.
31;Positioneren mislukt. De kaart is ongeldig. De robot begint met een nieuwe schoonmaak.
32;Ik heb veranderingen in de omgeving opgemerkt. Druk op de knop om een nieuwe schoonmaaktaak te starten.
33;Fout in de visuele navigatiesensor. Maak deze schoon en start de robot opnieuw op.
34;Stofzak is niet geïnstalleerd. Installeer de stofzak alstublieft.
35;Fout bij de hoofdborstel. Controleer en reinig de hoofdborstel.
36;Fout bij de zijborstel. Controleer en reinig de zijborstel.
37;Fout aan het rechterwiel. Controleer en reinig het wiel.
38;Fout aan het linkerwiel. Controleer en reinig het wiel.
39;Maak de afgrondsensor schoon.
40;De robot zit vast. Verplaats de robot om hem opnieuw op te starten.
41;De wielen van de robot hangen in de lucht. Zet de robot weer op de grond.
42;Controleer en reinig het filter.
43;Fout bij de bumper. Tik er voorzichtig tegenaan om te zien of hij terugveert.
44;Fout. Raadpleeg de gebruikershandleiding of neem contact op met de klantenservice.
45;Hallo! Hier ben ik.
46;De robot en telefoon zijn verbonden. Ga terug naar de app en wacht op het resultaat.
47;Opladen gestart.
48;Batterij bijna leeg. Ik ga terug naar het basisstation.
49;Sterk magnetisch veld gedetecteerd. Verplaats de robot en start hem opnieuw op.
50;Laadfout. Maak de laadcontacten schoon.
51;De batterij is te warm of te koud. Wacht tot de batterijtemperatuur weer normaal is voordat u de robot weer gebruikt.
52;De robot staat scheef. Plaats hem op een vlakke ondergrond om opnieuw op te starten.
53;Virtuele no-go zone gedetecteerd. Verplaats de robot en start hem opnieuw op.
54;Positionering succesvol. Ik ga verder met schoonmaken.
55;Positionering succesvol. Ik ga terug naar het basisstation.
56;Ik begin met het schoonmaken van de geselecteerde kamer.
57;Ik begin met de zone-reiniging.
58;Ik ga verder met de schoonmaaktaak.
59;Het dweilen is klaar. Leeg de watertank op tijd.
60;Fout in de optische stromingssensor. Maak de optische stromingssensor schoon en start opnieuw op.
61;Ik begin nu met dweilen.
62;Schoonmaken via afstandsbediening gestart.
63;De watertank is verwijderd.
64;Positionering mislukt. De kaart is ongeldig. De robot keert terug naar het basisstation.
65;Ik vervolg mijn weg naar het basisstation.
66;Het filter is versleten. Vervang het op tijd.
67;De zijborstel is versleten. Vervang deze op tijd.
68;De hoofdborstel is versleten. Vervang deze op tijd.
69;Schoonmaakroute geblokkeerd. Verplaats de robot naar een nieuwe plek om opnieuw te starten.
70;Verwijder en reinig de dweilpad.
71;Fout in de lasersensor. Controleer en reinig de lasersensor.
72;Controleer of de kap van de laserafstandssensor klem zit.
73;Randsensorfout. Controleer en reinig de sensor.
74;Probeer de obstaclesensoren schoon te maken.
75;Het filter is mogelijk nat of verstopt.
76;Ik begin met de zone-reiniging.
77;Start de robot alstublieft op een ondergrond zonder tapijt.
78;Maak de 3D-obstakelvermijdingssensor schoon.
79;Fout in de 3D-obstakelvermijdingssensor. Start de robot opnieuw op of neem contact op met de klantenservice.
80;De zender van de 3D-obstakelvermijdingssensor is defect. Start de robot opnieuw op of neem contact op met de klantenservice.
81;Fout in de ultrasoonsensor. Start de robot opnieuw op of neem contact op met de klantenservice.
82;Ik begin met het maken van de kaart.
83;Ik ga verder met het maken van de kaart.
84;Het maken van de kaart is voltooid.
85;Positionering succesvol. Het maken van de kaart wordt hervat.
86;Positionering mislukt. Het maken van de kaart start opnieuw.
87;Batterij bijna leeg. Ik ga terug naar het basisstation.
88;Afstandsbedieningsmodus geactiveerd.
89;Opladen hervat.
90;Schoonmaaktaak hervat.
91;De schoonwatertank is niet geplaatst. Installeer deze voordat de robot verdergaat met zijn werk.
92;De vuilwatertank is niet geplaatst. Installeer deze voordat de robot verdergaat met zijn werk.
93;Onvoldoende water in de schoonwatertank. Vul deze met water voordat de robot verdergaat met zijn werk.
94;De vuilwatertank is vol. Gooi het vuile water weg voordat de robot verdergaat met zijn werk.
95;De wastrap van het basisstation is niet geïnstalleerd. De robot kan niet terugkeren naar het basisstation.
96;De wastrap van het basisstation is overstroomd. Controleer of de waterafvoer van het station verstopt zit.
97;De stofzak is niet geplaatst. Installeer deze voordat de robot verdergaat met zijn werk.
98;De stofzak is vol. Leeg de stofzak alstublieft.
99;De bovenklep van het laad- en leegstation is niet gesloten. Sluit de bovenklep voordat de robot verdergaat met zijn werk.
100;Het luchtkanaal van het laad- en leegstation is verstopt. Controleer het luchtkanaal alstublieft.
101;De bovenklep van het automatische leegstation is niet gesloten of de stofzak is niet geplaatst. Sluit de bovenklep of installeer de stofzak.
102;De stofzak is vol of het luchtkanaal is verstopt. Vervang de zak door een nieuwe of maak het luchtkanaal op tijd schoon.
103;De wastrap van het basisstation is geïnstalleerd. De robot vervolgt zijn werk.
104;De wastrap van het basisstation is niet geïnstalleerd. Zorg ervoor dat de wastrap is geplaatst en dat de klemmen aan beide kanten stevig vastzitten.
105;Ik begin nu met Schoonmaken.
106;Ik begin met het reinigen van de dweilpads.
107;Ik begin met het drogen van de dweilpads.
108;Het waterniveau in de wastrap van het basisstation is afwijkend. Maak deze op tijd schoon om verstopping te voorkomen.
109;Er is een probleem met de vuilwatertank. Zorg ervoor dat de vuilwatertank is geplaatst en leeg het vuile water op tijd.
110;Automata ürítés elindítása.
111;De dweilpads zijn gedemonteerd. Installeer ze voordat u verdergaat met het werk.
112;Plaats de robot voor gebruik terug op het zelfreinigende basisstation.
113;Taak voltooid. Leeg de stofbak op tijd.
114;De dweilpads zijn geïnstalleerd.
115;De dweilpads zijn verwijderd.
116;Kinderslot ingeschakeld. De knoppen zijn vergrendeld.
117;Kinderslot uitgeschakeld. De knoppen zijn ontgrendeld.
118;Knoppen vergrendeld. Houd de knop op het basisstation lang ingedrukt om te ontgrendelen.
119;Knoppen vergrendeld.
120;Knoppen ontgrendeld.
121;De robot en telefoon zijn verbonden. Ga terug naar de Fantic-app en wacht tot de netwerkverbinding is voltooid.
122;Continu positioneren een moment geduld alstublieft.
126;Ik begin nu met schoonmaken.
127;Ik begin met de lokale reiniging.
128;Ik begin met lokaal dweilen.
129;Ik begin met de geplande schoonmaak.
130;Ik begin met gepland dweilen.
131;Ik begin met de lokale reiniging.
132;Ik begin met lokaal dweilen.
133;Ik begin met het schoonmaken van de geselecteerde kamer.
134;Ik begin met het dweilen van de geselecteerde kamer.
135;Ik begin met de zone-reiniging.
136;Ik begin met het dweilen van de zone.
137;Schoonmaken hervat.
138;Dweilen hervat.
139;Ik ga terug naar het basisstation voor zelfreiniging.
140;Nieuwe omgeving gedetecteerd. Ik ga terug naar het zelfreinigende basisstation.
141;Fout bij de dweilpad. Controleer en reinig de dweilpad.
142;De dweilpad is versleten. Vervang deze op tijd.
143;Schoonmaken voltooid.
144;Dweilen voltooid.
145;Positionering succesvol. Schoonmaken hervat.
146;Positionering succesvol. Dweilen hervat.
148;Ik ga terug naar het basisstation voor zelfreiniging.
149;Kan het opgegeven gebied niet bereiken. Probeer obstakels op de route te verwijderen.
150;Kan het opgegeven gebied niet bereiken. Probeer verboden zones op de route te verwijderen.
151;De route is geblokkeerd. Probeer obstakels rondom de robot te verwijderen.
152;De route is geblokkeerd. Probeer verboden zones te verwijderen of verplaats de robot uit dit gebied.
153;De robot bevindt zich in een verboden zone. Verplaats de robot uit dit gebied.
154;Te veel acties achter elkaar. Probeer het later opnieuw.
155;Ik ga terug naar het laad- en reinigingsstation.
156;De wastrap is gedemonteerd.
157;Ik ben al bij het laad- en reinigingsstation.
162;De camera is ingeschakeld.
163;Camerabewaking actief.
